hostname,pl_name,sy_dist,rastr,decstr,sy_vmag,sy_jmag,sy_kmag,st_mass,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_lum,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbincl,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,tran_flag,rv_flag,pl_rp_rs,pl_g,pl_teq_a0,pl_s,pl_rho,filter,subarray,nobs
TOI-1685,TOI-1685 b,37.6153,04h34m22.55s,+43d02m13.34s,13.378,9.616,8.758,0.5,0.49,0.02,-0.02,3434.0,51.0,-51.0,4.85,-1.519,2458816.22649,0.00096,-0.00096,1.7,0.07,-0.07,3.09,0.59,-0.58,0.6691406,3.6e-06,-3.6e-06,0.011557,9.2e-05,-9.2e-05,84.74,0.0,,,0.0317,0.001,-0.001,5.158,0.019,-0.018,1,1,0.031806959955176545,10.476487969909568,37.925724023286044,224.436571939627,3.4560589384420126,f1500w,sub256,1
TOI-244,TOI-244 b,22.0337,00h42m16.74s,-36d43m04.71s,12.861,8.827,7.97,0.43,0.43,0.03,-0.03,3433.0,100.0,-100.0,4.66,-1.643,2458357.3627,0.002,-0.002,1.52,0.12,-0.12,2.68,0.3,-0.3,7.397225,2.6e-05,-2.3e-05,0.0559,0.0013,-0.0013,88.32,,,,0.0326,0.0017,-0.0018,28.1,1.8,-1.8,1,1,0.03240741966431668,11.365870411285567,60.02233396597562,7.3790259717835065,4.193469175902546,f1500w,sub256,1
TOI-270,TOI-270 b,22.453,04h33m39.86s,-51d57m26.62s,12.603,9.099,8.251,0.386,0.38,0.008,-0.008,3506.0,70.0,-70.0,4.87,-1.712,2458387.09505,0.00074,-0.00074,1.206,0.039,-0.039,1.58,0.26,-0.26,3.3601538,4.8e-06,-4.8e-06,0.03197,0.00022,-0.00022,89.39,0.034,0.025,-0.025,0.0292,0.00069,-0.00069,17.48,1.49,-3.24,1,1,0.029095982841969084,10.64431095709798,56.70562269204673,19.165497515761714,4.949765091265365,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 b,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457322.514193,3e-06,-3e-06,1.116,0.014,-0.012,1.374,0.069,-0.069,1.510826,6e-06,-6e-06,0.01154,0.0001,-0.0001,89.728,0.00622,0.00304,-0.00304,0.0859,0.00037,-0.00037,20.843,0.094,-0.155,1,0,0.08526136265631737,10.809694630450089,57.24503596427138,4.208894234180295,5.4320476860370706,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 c,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457282.811387,4e-06,-4e-06,1.097,0.014,-0.012,1.308,0.056,-0.056,2.421937,1.8e-05,-1.8e-05,0.0158,0.00013,-0.00013,89.778,0.00654,0.00188,-0.00188,0.0844,0.00038,-0.00038,28.549,0.129,-0.212,1,0,0.08380978031718653,10.649999093275571,61.92280944126055,2.245253883178034,5.444491024054103,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 d,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457670.146301,1.8e-05,-1.8e-05,0.788,0.011,-0.01,0.388,0.012,-0.012,4.049219,2.6e-05,-2.6e-05,0.02227,0.00019,-0.00019,89.896,0.00837,0.00093,-0.00093,0.06063,0.00052,-0.00052,40.216,0.182,-0.299,1,0,0.060202467538690047,6.122578647774603,67.47088933031446,1.1301580843595518,4.357350525596131,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 e,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457660.367662,1.4e-05,-1.4e-05,0.92,0.013,-0.012,0.692,0.022,-0.022,6.101013,3.5e-05,-3.5e-05,0.02925,0.0025,-0.0025,89.793,0.0051,0.00058,-0.00058,0.07079,0.00055,-0.00055,52.855,0.239,-0.392,1,0,0.07028714484212543,8.010977680173996,72.23003876686624,0.6551306063514525,4.883284615872091,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 f,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457671.37373,1.6e-05,-1.6e-05,1.045,0.013,-0.012,1.039,0.031,-0.031,9.20754,3.2e-05,-3.2e-05,0.03849,0.00033,-0.00033,89.74,0.01007,0.00068,-0.00068,0.0804,0.00047,-0.00047,69.543,0.314,-0.516,1,0,0.07983702865219683,9.32262142431041,77.36122856671695,0.37834134889598886,5.003064490993252,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 g,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457665.362844,2.1e-05,-2.1e-05,1.129,0.015,-0.013,1.321,0.038,-0.038,12.352446,5.4e-05,-5.4e-05,0.04683,0.0004,-0.0004,89.742,0.00208,0.00058,-0.00058,0.08692,0.00053,-0.00053,84.591,0.382,-0.628,1,0,0.08625455057256479,10.154768232449266,81.24888687826626,0.2555826180604384,5.04417815195775,f1500w,sub256,1
TRAPPIST-1,TRAPPIST-1 h,12.4298888,23h06m30.33s,-05d02m36.46s,17.02,11.354,10.296,0.0898,0.12,0.0013,-0.0013,2566.0,26.0,-26.0,5.24,-3.257,2457662.574149,9.1e-05,-9.1e-05,0.755,0.014,-0.014,0.326,0.02,-0.02,18.772866,0.000214,-0.000214,0.06189,0.00053,-0.00053,89.805,0.00567,0.00121,-0.00121,0.05809,0.00087,-0.00087,111.817,0.505,-0.83,1,0,0.057681298212831196,5.6037503470483685,87.11471116375222,0.14633178311751086,4.16242259194743,f1500w,sub256,1
Wolf 327,Wolf 327 b,28.5321,09h53m30.80s,+35d34m13.97s,13.018,9.308,8.435,0.41,0.41,0.02,-0.02,3542.0,70.0,-70.0,4.87,-1.63,2459252.9811,0.0003,-0.0003,1.24,0.06,-0.06,2.53,0.46,-0.46,0.5734745,3e-07,-3e-07,0.01,0.0004,-0.0004,84.89,0.0,,,0.028,0.0007,-0.0007,5.3,0.06,-0.06,1,1,0.027727272408558493,16.122494327642915,41.24553866330815,237.54859751410407,7.291634491045264,f1500w,sub256,1
